name,住所,lat,lon,種別,備考
星宮小学校,熊谷市池上733,36.157274,139.4318386,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
熊谷東中学校,熊谷市上之3177,36.1463133,139.4149246,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
雀宮児童館,熊谷市上之1305-1,36.1604449,139.3968538,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
老人福祉センタ-　上之荘,熊谷市上之3022-1,36.1460772,139.4131804,福祉避難所,
特別養護老人ホ-ム　いずみ熊谷,熊谷市平戸212-1,36.143983,139.412372,福祉避難所,
ケアハウス　神根苑,熊谷市太井399-1,36.123975,139.430769,福祉避難所,
ケアハウス　クイ-ンズビラ,熊谷市太井1777-1,36.117689,139.421495,福祉避難所,
万吉弥太郎公園,熊谷市万吉2502-115,36.127899,139.372025,指定緊急避難場所(一時避難場所),"【洪水時】×
、【地震時】〇"
吉岡小学校,熊谷市万吉2103,36.1202429,139.3706749,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
吉岡中学校,熊谷市平塚新田479-2,36.113038,139.372323,指定避難所兼指定緊急避難場所(第二避難所),"【洪水時】〇、
【地震時】〇※土砂災害に関する指定緊急避難場所(兼 指定避難所兼指定緊急避難場所)を兼ねる"
立正大学,熊谷市万吉1700,36.1080945,139.3644201,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇※避難所としてのみ指定
老人憩の家　吉岡荘,熊谷市村岡1891-4,36.1249008,139.3809242,福祉避難所,
特別養護老人ホ-ム　立正たちばなホ-ム,熊谷市万吉1756-130,36.11141,139.365647,福祉避難所,
特別養護老人ホ-ム　まごころの里,熊谷市村岡50,36.11964,139.376471,福祉避難所,
大境公園,熊谷市船木台1-4,36.0741201,139.421172,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
大林公園,熊谷市船木台2-4,36.0761282,139.4170112,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
船木台中央公園,熊谷市船木台3-4-1,36.0773364,139.4182889,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
阿諏訪野公園,熊谷市船木台5-3-1,36.0807137,139.4164779,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
楓山公園,熊谷市船木台5-13-4,36.07878,139.414118,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
市田小学校,熊谷市小泉243-1,36.110742,139.3976874,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
吉見小学校,熊谷市箕輪7,36.0881515,139.4126364,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
大里中学校,熊谷市中曽根815-1,36.1029685,139.4049509,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(3階以上)、【地震時】〇
吉見保育所,熊谷市向谷373-1,36.0958893,139.4114586,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
大里体育館,熊谷市津田21,36.102248,139.410985,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
大里生涯学習センタ-「あすねっと」,熊谷市津田1-1,36.1031938,139.4110779,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
大里ふれあいセンタ-(自主避難所),熊谷市船木台3-4-4,36.0774502,139.4175973,指定避難所兼指定緊急避難場所(第二避難所),"【洪水時】〇、
【地震時】〇※土砂災害に関する指定緊急避難所(兼 指定避難所兼指定緊急避難場所)を兼ねる"
箕輪集会所,熊谷市箕輪305-1,36.0821579,139.4121505,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
春日文化センタ-,熊谷市小八林103-7,36.0767755,139.4266103,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
健康スポ-ツセンタ-,熊谷市津田1788-1,36.0976675,139.4269818,福祉避難所,
特別養護老人ホ-ム　サンヴィレッジ,熊谷市津田1560-1,36.095227,139.425571,福祉避難所,
障害者支援施設　ながい寮,熊谷市上恩田514-2,36.11703,139.37904,福祉避難所,
障害者生活介護事業所　ライフアシスト紡,熊谷市上恩田466-5,36.118,139.37942,福祉避難所,
中央公園,熊谷市宮町2-39,36.147252,139.390079,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
宮町公園,熊谷市宮町2-68,36.1462653,139.3871004,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
東公園,熊谷市銀座3-1,36.142645,139.39559,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
